label,L.BSTS,L.CACG,L.CMFG,L.CU,L.EC,L.FG,L.IPG,L.ITG,L.ICG,L.LOG,L.LOFG,L.LG,L.MOFG,L.MTG,L.PHIG,L.PaCG,L.POP,L.POR,L.PTR,L.PCAL,L.PoCG,L.PCG,L.PrCG,L.PCU,L.RACG,L.RMFG,L.SFG,L.SPG,L.STG,L.SMG,L.FP,L.TP,L.TTG,L.IN,L.CER,L.TH,L.CA,L.PU,L.PA,L.HI,L.AM,L.AC,R.TH,R.CA,R.PU,R.PA,R.HI,R.AM,R.AC,R.BSTS,R.CACG,R.CMFG,R.CU,R.EC,R.FG,R.IPG,R.ITG,R.ICG,R.LOG,R.LOFG,R.LG,R.MOFG,R.MTG,R.PHIG,R.PaCG,R.POP,R.POR,R.PTR,R.PCAL,R.PoCG,R.PCG,R.PrCG,R.PCU,R.RACG,R.RMFG,R.SFG,R.SPG,R.STG,R.SMG,R.FP,R.TP,R.TTG,R.IN,R.CER,L.VTA,L.SN,L.RN,R.VTA,R.SN,R.RN
L.BSTS,0.0,0.0,121.844794097588,92.7036750203617,0.0,100.002537682037,28.4309858828166,61.0055547234508,95.6083866241951,78.7452411313413,0.0,93.2414474487305,0.0,18.9795087212974,0.0,149.864624023438,129.769741407486,0.0,0.0,83.2316639531783,101.675789798897,102.972184437326,116.558433957979,87.7652662707154,0.0,152.186733745846,159.637193193478,98.0080884295346,18.1430912596165,44.7082321508408,0.0,0.0,67.3946331554735,96.6757126264529,0.0,81.0937900620725,122.867058948706,100.013647206281,91.0484697560767,131.044927202812,134.519180297852,0.0,159.760665895225,0.0,199.106472273879,209.960087569429,180.27858189299,0.0,0.0,142.936553955078,0.0,0.0,0.0,0.0,0.0,217.904921952099,220.342834472656,139.946243286133,196.268952096926,0.0,0.0,0.0,159.181484210517,0.0,225.082962036133,0.0,0.0,0.0,0.0,168.487258911133,0.0,171.726943969727,175.10994790118,0.0,233.214767456055,208.881088256836,151.654482823336,168.799423217773,0.0,0.0,0.0,0.0,245.705657958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.CACG,0.0,0.0,69.7648764730752,0.0,0.0,153.511270348021,173.19239824808,162.448135375977,76.6677924925564,204.39241027832,78.4676697170305,0.0,49.1861360283855,153.084393631676,0.0,77.1035386371256,93.1356878050559,94.7604185781662,87.0552643497631,0.0,131.533854370339,23.8530418028839,91.804060845522,87.6950704444545,25.3010478956131,70.6968520155486,38.931179699133,153.385256081534,115.543608333296,133.695288986512,0.0,0.0,0.0,85.7414081696745,179.631317138672,100.388542757461,63.8120826597199,79.9616167185676,86.9014431784196,0.0,0.0,103.548759460449,97.0919415979232,84.8293258356891,101.671185082967,65.0571974425369,216.399047851562,0.0,156.216918945312,0.0,21.0038387181303,85.890196164259,0.0,0.0,0.0,196.12971496582,0.0,0.0,0.0,124.603103196105,0.0,108.689693364167,0.0,0.0,103.692585694002,91.6349114865367,0.0,95.7287998224708,0.0,159.717292373975,35.5836943344162,122.004848632143,128.303136768893,31.5613587061366,98.4821626749727,80.68491683963,140.373214048296,0.0,89.9207763671875,97.0370487752247,0.0,0.0,86.1806813513198,106.476509094238,179.631317138672,179.631317138672,179.631317138672,106.476509094238,106.476509094238,106.476509094238
L.CMFG,121.844794097588,69.7648764730752,0.0,0.0,0.0,173.080760354455,120.437296949053,145.334912866067,78.1197662353516,166.919403076172,94.8378755048527,0.0,139.123851754969,135.194062958758,0.0,108.948026040107,57.3349212488614,135.935868482159,99.4948407682873,0.0,87.1647717501281,91.2414708454025,35.0966101066646,134.957681050394,140.024536132812,39.1694992521326,41.4960389376023,98.4358306035644,134.249699137266,111.659667532222,0.0,0.0,0.0,97.4116480419378,126.580321655106,88.8929470323082,59.5221033563515,78.5176149167607,87.0483652757779,203.451125149582,112.924858093262,0.0,153.324145652519,114.848088694603,140.147858847743,138.579103791692,175.589170730249,0.0,0.0,0.0,85.8911991861403,129.137365959401,0.0,0.0,0.0,186.488906860352,0.0,159.811574413428,0.0,178.041778564453,0.0,153.373329039986,0.0,0.0,149.92600852868,135.583835396757,238.279632568359,130.044540405273,0.0,176.168549040957,103.031676378595,159.254247134238,173.247130551064,0.0,147.40400699971,130.496159640376,200.174246886653,213.840408325195,190.712476648765,0.0,0.0,0.0,162.720163656493,165.01335826703,126.580321655106,126.580321655106,126.580321655106,165.01335826703,165.01335826703,165.01335826703
L.CU,92.7036750203617,0.0,0.0,0.0,0.0,87.521882661936,81.9406752500373,108.524250197732,69.2254137413771,28.69095438362,199.801944450994,38.4293804021516,0.0,119.949130159942,70.9746422595216,159.723892211914,0.0,0.0,186.604319911897,10.5155632096561,0.0,93.8403167724609,0.0,29.6843895655606,136.760362605014,190.776494675553,228.000091552734,20.8330307709835,118.979282782644,189.367790982044,0.0,152.282521436723,0.0,124.454291255325,140.997375488281,112.555021166777,160.684450275676,133.036128945253,163.608489268898,83.6648116526389,141.02360534668,0.0,200.264053623327,0.0,181.951932030992,213.886205944126,157.938172763514,186.930419921875,139.900497436523,191.830572290502,0.0,0.0,168.922778533223,0.0,188.819339526797,179.26207180565,191.245711540388,95.9761644603151,173.561174714831,0.0,157.969471200963,138.322594413247,205.48935760738,178.703847732538,172.077575683594,0.0,0.0,0.0,165.664597174341,220.406048459984,191.062643915255,208.229888916016,145.004961453494,0.0,0.0,0.0,170.693672123968,200.957828780463,0.0,0.0,0.0,0.0,204.421134421111,217.769958496094,140.997375488281,140.997375488281,140.997375488281,217.769958496094,217.769958496094,217.769958496094
L.EC,0.0,0.0,0.0,0.0,0.0,12.0243169726884,0.0,23.9441527521681,53.9795790036334,157.141931266155,71.3103496117959,121.973375967115,67.4985809326172,26.4148654003619,11.1585264764984,0.0,120.326540190263,98.1943748333237,104.84656903154,0.0,95.6270904541016,0.0,0.0,0.0,0.0,105.263111067239,235.846115112305,0.0,27.4793214323442,195.618728637695,0.0,9.59073536868973,71.27783203125,21.3628179917421,0.0,66.3110900047222,76.7871017456055,49.6941445392343,46.3891219613509,5.55804633951215,6.78236586456628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.FG,100.002537682037,153.511270348021,173.080760354455,87.521882661936,12.0243169726884,0.0,81.5895331233295,18.4701458172522,85.289366196228,23.660005441921,103.287577469001,34.2494567965849,99.0607645615989,54.3690888732744,18.5849341692344,0.0,140.025164821773,194.79093086911,134.019645777572,71.7985899203115,135.529679858887,131.036636352539,137.717784672989,89.7457187238342,119.486574460025,153.283800543983,164.626506215411,98.4353179911745,69.7517585303524,112.826399546773,0.0,11.8332666876281,89.6626815795898,62.6321604357812,0.0,80.2482843627259,124.459669575922,68.3222537050168,72.133684213363,24.6381428234412,24.2894375933854,70.9687219892946,191.472482811887,196.446990966797,203.63903146819,204.630090627577,179.413153654895,0.0,0.0,209.808294166854,0.0,0.0,180.855266752093,0.0,193.783468764469,181.720747062721,203.277069081783,139.56312705181,180.919785009989,0.0,186.971983831111,245.739074707031,197.70972199336,124.263193138977,212.028564453125,0.0,0.0,0.0,178.807719422348,0.0,189.219658019526,202.889984130859,164.348785932508,0.0,0.0,180.242614746094,178.12843101391,208.585400127007,184.399015064854,0.0,0.0,222.028549194336,189.561341316706,163.635183556838,0.0,0.0,0.0,163.635183556838,163.635183556838,163.635183556838
L.IPG,28.4309858828166,173.19239824808,120.437296949053,81.9406752500373,0.0,81.5895331233295,0.0,81.8003458857104,88.1820482522304,27.2808579404859,173.138836390942,124.259827693124,115.394425394218,45.1809362216476,164.923184626475,110.09301618306,129.690686843883,193.666495420356,141.956695408963,98.0277088590292,96.2920974022217,105.331172107518,108.180646410638,66.3815659617573,152.392642572146,171.112832078212,142.504609894909,44.0924377707572,84.3156972708023,31.3664243361745,0.0,163.090970799622,97.4844936438356,101.815848686118,172.249931923802,102.068201918698,131.184414148579,108.398556548221,109.61473974284,111.192909932468,107.033554858661,155.836159109577,168.947672785015,181.625422153481,175.736705119853,185.54065776679,175.150505914124,190.44433413225,0.0,138.930594140505,227.049224853516,211.320592296174,176.536085901914,0.0,180.585920623645,156.419361926194,185.294654641343,113.342270069612,182.351554773772,199.166412353516,189.529305008472,144.697766238561,181.657670680792,0.0,152.842158122311,0.0,0.0,0.0,202.442085960689,165.447521599063,117.212294523305,175.775646978663,141.294048770493,242.992065429688,195.860488891602,203.656733474989,176.579770264311,184.56668698366,165.043411358774,0.0,232.470899818858,126.897476196289,191.86900640877,187.348903950513,172.249931923802,172.249931923802,172.249931923802,187.348903950513,187.348903950513,187.348903950513
L.ITG,61.0055547234508,162.448135375977,145.334912866067,108.524250197732,23.9441527521681,18.4701458172522,81.8003458857104,0.0,122.421626582371,42.9895341098077,90.3131513868546,78.900914276206,90.5647195653223,17.9202673660482,35.3545446010491,160.543748518927,146.484756451147,122.007189490799,117.295518784386,93.3070324374824,139.215667264574,133.024138622818,134.253544295949,107.377505815561,115.355983594145,135.14162833145,168.871743432221,115.774175016843,46.9738494371254,98.8415336560583,0.0,25.1512943311045,114.995525292909,61.4695381016065,231.988418579102,95.5200090319905,91.7124197291652,70.707177340712,78.7362021404427,54.4323442088094,39.5267405355292,75.1897503890366,205.290374641015,124.873405456543,203.873271720116,207.047946873811,199.572306360644,211.519401621548,0.0,160.132369995117,173.783181495523,201.141036987305,197.702725493559,0.0,215.752944075822,185.767357172548,216.751391734431,141.589593596435,199.180235273908,209.201954164505,200.707573526582,207.214181090833,213.885253877317,209.877991288263,188.394254928858,0.0,0.0,0.0,207.695773803066,179.967337592752,199.118387963393,235.843627913705,173.337733719157,107.301315307617,188.988231614759,202.696545913263,186.388463764801,206.218656787974,193.946913147156,0.0,235.362640380859,0.0,223.100240530546,177.836815771248,231.988418579102,231.988418579102,231.988418579102,177.836815771248,177.836815771248,177.836815771248
L.ICG,95.6083866241951,76.6677924925564,78.1197662353516,69.2254137413771,53.9795790036334,85.289366196228,88.1820482522304,122.421626582371,0.0,83.658124600578,154.109840712422,33.5683502413646,51.778197493708,107.849570462757,21.2086942174532,81.4359206068326,143.37030508077,0.0,173.480865478516,65.7626175302476,110.700812837799,23.7083897039469,113.024509002867,28.7447355489083,78.7888586545785,150.775791157574,104.882219197448,73.9580734786265,95.9958243276987,86.7472052244606,0.0,139.288507271707,91.0805641515671,87.1117587377569,149.35013208767,57.8200300840169,100.358127312387,108.250388880082,106.003432243545,19.3117850987759,71.0591507194633,53.5106687424807,111.92516290115,102.446835275282,141.849525205029,124.022900588792,90.8497349567413,134.567141699889,148.864730834961,97.5706050846109,113.425418274913,138.072280883789,122.463025852068,0.0,128.198459320141,127.557421031583,120.205768421261,16.2377584792634,113.032761713323,0.0,92.779033612338,66.7004681796888,126.398140891141,81.1325745729362,118.879275566691,0.0,0.0,195.010101318359,96.2121669356539,127.026400925121,68.2950090149279,103.2286816152,78.2883303676724,79.8152008056641,0.0,134.005431788757,100.139776134379,115.694016327151,110.303622283271,0.0,210.229751586914,87.6681196390004,102.550388342181,157.534854919061,149.35013208767,149.35013208767,149.35013208767,157.534854919061,157.534854919061,157.534854919061
L.LOG,78.7452411313413,204.39241027832,166.919403076172,28.69095438362,157.141931266155,23.660005441921,27.2808579404859,42.9895341098077,83.658124600578,0.0,170.167181975902,23.9360332518599,130.483077703925,67.6187219935607,95.7834988713674,83.6357987483337,178.652067846913,178.514640096864,189.408380107059,20.2618357221774,150.145265750426,131.645617562887,138.988848031476,72.4919205069231,164.36357444565,189.265684325452,181.729119903351,41.8379970282315,109.279568813461,122.853528909254,0.0,139.040870922568,106.534231765485,106.497614308402,121.883979797363,107.338147579133,178.053035970297,111.573302189368,110.101623027631,103.927406525664,117.337613062385,159.644662970097,198.066661108896,166.617521779304,198.313477340379,202.089553750982,175.477695872695,206.266469335351,124.611145019531,165.131403000009,0.0,231.886795043945,172.492415796565,0.0,198.839047631052,176.584167143714,202.823097139949,106.065842694307,183.026848215267,0.0,165.788050934957,178.181284349485,184.885999890741,174.742518751774,188.605724375534,0.0,0.0,0.0,176.594583018774,207.889628151068,162.715240478516,188.847056508215,154.300547241516,0.0,0.0,178.511138916016,178.607615226695,211.850555949533,203.350559244315,0.0,243.393432617188,180.911756268707,200.698974931126,185.096176147461,121.883979797363,121.883979797363,121.883979797363,185.096176147461,185.096176147461,185.096176147461
