,L.BSTS,L.CACG,L.CMFG,L.CU,L.EC,L.FG,L.IPG,L.ITG,L.ICG,L.LOG,L.LOFG,L.LG,L.MOFG,L.MTG,L.PHIG,L.PaCG,L.POP,L.POR,L.PTR,L.PCAL,L.PoCG,L.PCG,L.PrCG,L.PCU,L.RACG,L.RMFG,L.SFG,L.SPG,L.STG,L.SMG,L.FP,L.TP,L.TTG,L.IN,L.CER,L.TH,L.CA,L.PU,L.PA,L.HI,L.AM,L.AC,R.TH,R.CA,R.PU,R.PA,R.HI,R.AM,R.AC,R.BSTS,R.CACG,R.CMFG,R.CU,R.EC,R.FG,R.IPG,R.ITG,R.ICG,R.LOG,R.LOFG,R.LG,R.MOFG,R.MTG,R.PHIG,R.PaCG,R.POP,R.POR,R.PTR,R.PCAL,R.PoCG,R.PCG,R.PrCG,R.PCU,R.RACG,R.RMFG,R.SFG,R.SPG,R.STG,R.SMG,R.FP,R.TP,R.TTG,R.IN,R.CER,L.VTA,L.SN,R.VTA,R.SN,L.RN,R.RN
L.BSTS,0.0,0.0,0.0006115439151416,0.0001291813205344,0.0,0.0009192387750858,0.0840280066522633,0.0108572761660508,0.0017731371616146,0.0025988944219486,0.0,7.223389902601902e-05,0.0,0.2651516269741473,0.0,5.295638868950774e-05,0.0006346778465133,0.0,0.0,0.0001093486963594,0.0019932601006183,0.0003223305865077,0.0040368889275879,0.0019735505305216,0.0,0.0004847496626849,0.0005283494805526,0.0045311329954216,0.1619468577140045,0.0358663271164904,0.0,0.0,0.0009877418598436,0.0013336272346198,0.0,0.0024680748002945,0.0005358782828204,0.0023115529563978,0.0003474639574637,0.0004797707284794,6.53351437776015e-05,0.0,0.0003186384463784,0.0,0.0002703960517748,0.0002527224591086,0.0001967623524114,0.0,0.0,7.95969394663721e-05,0.0,0.0,0.0,0.0,0.0,0.0002589618168489,4.242898827478597e-05,0.0001697749147766,0.0001629280750608,0.0,0.0,0.0,0.0002490839073376,0.0,3.871778082823828e-05,0.0,0.0,0.0,0.0,9.466439267324986e-05,0.0,9.361758030079748e-05,0.0005460107297923,0.0,8.063972547027666e-05,5.7063393233490345e-05,0.0007361747005665,6.444710502100199e-05,0.0,0.0,0.0,0.0,4.550799068427173e-05,0.0,0.0221386236316302,0.0221386236316302,0.0,0.0,0.09455431122188362,0.0
L.CACG,0.0,0.0,0.002845055196583,0.0,0.0,0.0001938590799882,0.0001452885037605,3.826140353999768e-05,0.0050138288806511,7.182250699213098e-05,0.0004841356813105,0.0,0.0003876918437475,0.0003436113346844,0.0,0.002043389015445,0.0023053635408349,0.000400215971741,0.0019041954596615,0.0,0.00028800481339,0.0504493571079275,0.0028767427279181,0.0053702076598219,0.030198714629678,0.0110301980752771,0.1118485768099456,0.0007683432308679,0.0004978380398837,0.0002043171196872,0.0,0.0,0.0,0.0012501308477356,5.085444326571501e-05,0.0048873492461706,0.0036610282564267,0.0041242803408503,0.0011830469782326,0.0,0.0,8.837802925263681e-05,0.0019938265005996,0.0021561500482863,0.0018739523735597,0.0006708100831918,4.5559261708227946e-05,0.0,5.662060493909915e-05,0.0,0.0185431539577401,0.0022298269442116,0.0,0.0,0.0,4.838106172253667e-05,0.0,0.0,0.0,0.0002773771918826,0.0,0.0005434455455978,0.0,0.0,0.0007192611791054,0.000929769742023,0.0,0.000685079265384,0.0,0.000364107451532,0.0024053989679386,0.0010166742652205,0.0004327977877731,0.0018049399640431,0.003876887569857,0.0198132152392673,0.0001479249459882,0.0,9.10095580072088e-05,0.0002156286119266,0.0,0.0,0.0005535140450023,9.811183315072026e-05,0.0289499106398936,0.0289499106398936,0.0,0.0,0.06883070222614614,0.0
L.CMFG,0.0006115439151416,0.002845055196583,0.0,0.0,0.0,0.0001647254032548,0.0021382814048581,0.0009691091405667,7.375239757719847e-05,3.963850124177469e-05,0.0005619673261104,0.0,0.0001025945138119,0.0008153410974025,0.0,0.0014362428072082,0.0440198527189114,0.0004906204049363,0.0027300720102159,0.0,0.0069673824083291,0.0015568871401705,0.2060748179178923,0.0011335755165255,7.512021869964105e-05,0.2244208419179446,0.2935584662226635,0.0031203139030674,0.0010731573291204,0.00389739533131,0.0,0.0,0.0,0.0039140478195325,0.0001391801261063,0.0132397017757885,0.0157665945644156,0.0132070551612929,0.0053437000769697,0.0001567595372328,0.0001905583629876,0.0,0.0014983980793542,0.0024844965652883,0.0020561433669919,0.0013482273321666,0.0003556156338767,0.0,0.0,0.0,0.0025443263271727,0.0031020227118126,0.0,0.0,0.0,4.534565054591882e-05,0.0,9.352020518446588e-05,0.0,4.46592597127053e-05,0.0,0.0002453907244078,0.0,0.0,0.0008979128642339,0.000848805600597,4.722392250686769e-05,8.639613623493808e-05,0.0,0.0003869128790252,0.0007874935702367,0.001364916651523,0.000536816165992,0.0,0.002211180237649,0.0117038227276757,6.493005923832726e-05,8.726019782200094e-05,0.0003799615275272,0.0,0.0,0.0,0.0002567044253566,0.0001713100329606,0.0123980657371498,0.0123980657371498,0.0,0.0,0.08932969046020652,0.0
L.CU,0.0001291813205344,0.0,0.0,0.0,0.0,0.0033832766448566,0.003284470534694,0.0042476470619909,0.0160017166296589,0.0799592315977808,0.0001184492415574,0.0633381319741177,0.0,0.0007811129492387,0.0010392329617735,4.237913299732463e-05,0.0,0.0,0.0001465782669214,0.4449081768994183,0.0,0.0001205664125925,0.0,0.0732794852063111,0.0001623552480973,0.0002011542551177,5.281632030739472e-05,0.1432622609269011,0.0014474411483531,0.0001606246084429,0.0,7.24231854186291e-05,0.0,0.0007289010440596,0.0001408327114202,0.0028890277667436,0.0001172916895666,0.0012035910856275,0.0006416866063506,0.0018811766201518,7.332882505428584e-05,0.0,0.0008280543271261,0.0,0.0005322153736923,0.0003842124964718,0.0008159811415474,3.014714664655812e-05,5.875916786750131e-05,0.000118858576957,0.0,0.0,0.0012138839247285,0.0,0.0007295338718803,0.0004094703589776,0.001033739559413,0.0040648486390853,0.0019882049297313,0.0,0.0009866113808363,0.0001490098821326,0.0007632595821135,0.000530837497511,4.852795899950724e-05,0.0,0.0,0.0,0.0005364740767405,0.0001167537656423,0.0001904558173189,4.33115740538376e-05,0.004638657444489,0.0,0.0,0.0,0.0033915686557831,0.0003146295411178,0.0,0.0,0.0,0.0,0.0001831225491945,4.011771875735401e-05,0.0225933439695228,0.0225933439695228,0.0,0.0,0.08410988649457302,0.0
L.EC,0.0,0.0,0.0,0.0,0.0,0.0272341642228196,0.0,0.0024033126210721,0.0002528736724209,0.0002127121343181,0.0005650698603267,0.0001416732701671,0.000103931811295,0.0021438798204864,0.0296477618981974,0.0,0.0001668748069632,0.0001579052346097,0.0003087757154076,0.0,0.0001223457560989,0.0,0.0,0.0,0.0,0.000247178193068,9.22428289001166e-05,0.0,0.005317121634376,3.718238383999635e-05,0.0,0.0527868982166681,0.0001162515576347,0.0187061461034767,0.0,0.0005141004157198,0.0001719534987946,0.00237234647232,0.0003667287441859,0.1020612855965121,0.1197301336871069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012869517892203,0.012869517892203,0.0,0.0,0.049828204655317176,0.0
L.FG,0.0009192387750858,0.0001938590799882,0.0001647254032548,0.0033832766448566,0.0272341642228196,0.0,0.0156769933591581,0.3397876388539316,0.0074746721275084,0.3201478904631827,0.0016235631732996,0.1386578227070276,0.0010443003348745,0.0134209083655609,0.0318910948068905,0.0,0.0003542340065103,0.0001234210608221,0.0010008842834365,0.0124202250583828,0.0003521820793015,0.0001183168457247,0.000611502116222,0.006672424040163,0.0004706552907869,0.0015751867480563,0.0005591604982489,0.0074160044509003,0.0092441029136808,0.000616326440772,0.0,0.0674273297257758,0.0001178056996859,0.0122437130767458,0.0,0.0149232662444111,0.0006299115241196,0.0167532180297888,0.0051983535257924,0.039292060137618,0.021147596252081,0.0004756610191716,0.0011500800646706,7.959625874938736e-05,0.0004013614011762,0.0005641762092758,0.0010879290252807,0.0,0.0,0.0001419383551201,0.0,0.0,0.0008271819394289,0.0,0.0005546192035104,0.0021017693606897,0.0008515601037716,0.0011894800542676,0.0015758274023119,0.0,0.0005423997941301,4.704978568800297e-05,0.0006972528494762,8.178554595565699e-05,0.0001623885561587,0.0,0.0,0.0,0.0006954187589443,0.0,0.0003213873155336,0.0001032110695999,0.0052628838919148,0.0,0.0,5.909496772856917e-05,0.0030450092643775,0.0006972069119423,0.0005701080060474,0.0,0.0,7.634348160453942e-05,0.0006354308245026,0.0003085790207865,0.023358974191175,0.023358974191175,0.0,0.0,0.08239372064257525,0.0
L.IPG,0.0840280066522633,0.0001452885037605,0.0021382814048581,0.003284470534694,0.0,0.0156769933591581,0.0,0.0537209794643766,0.0091331543911947,0.2736858715194183,0.0003910251663675,0.0021764222563168,0.0005388734266907,0.1546469128006161,9.535637769657736e-05,0.0009663347481454,0.0016024991864117,0.0001366093694468,0.0004774755608153,0.0019113750758411,0.0165475487907302,0.0028118306569881,0.0212718305886581,0.0541882137286776,0.0004038416804101,0.0010933849719133,0.0046200394348544,0.3751354250567693,0.0302656234861201,0.2764834099059592,0.0,0.0003219408325839,0.0028581275950369,0.0097960355734693,0.000542254413983,0.0319054850227351,0.0012336187899787,0.0159291481383203,0.006491678315704,0.0047476331713055,0.0007896950705195,0.0001297399357205,0.0055290332962117,0.000496548139131,0.0017761898206388,0.0008680372240913,0.0015482221379759,0.000276754238079,0.0,0.0002553805503089,4.324182952958303e-05,0.0001085543068799,0.0002740350127001,0.0,0.0002689711554299,0.0025188932343559,0.0014623894181543,0.0015540037063024,0.0008440949521627,9.315509104303434e-05,0.0002240640568014,0.0001586300787109,0.0006748512066425,0.0,0.0006151498721556,0.0,0.0,0.0,0.0001962441457443,0.000673046231245,0.0003104932476393,0.0005484577516564,0.0087231370851719,0.0001380812968179,4.7640666134923024e-05,0.000284609860537,0.0030445143577837,0.001230626376218,0.0015055669235496,0.0,0.0001304494998978,0.000160002078277,0.0009696399477398,0.0002307037847538,0.0137306201154335,0.0137306201154335,0.0,0.0,0.09186470208880536,0.0
L.ITG,0.0108572761660508,3.826140353999768e-05,0.0009691091405667,0.0042476470619909,0.0024033126210721,0.3397876388539316,0.0537209794643766,0.0,0.0066759115252655,0.1284105552220684,0.0021830016068451,0.0270092381791696,0.0009522886999116,0.4677337570443483,0.0081521632234135,0.0004658365097353,0.0023038135663649,0.0006462563210233,0.0021004971875452,0.0067728828931458,0.005094296565766,0.0008989472281755,0.0087616817647401,0.0100247747800385,0.0004441956514112,0.0031906511978448,0.0027690079409231,0.0129271668116953,0.0539886733955973,0.0186173777826062,0.0,0.0299745185608525,0.0007146866197554,0.017344094137138,5.767463363575673e-05,0.01095188742297,0.000956721094416,0.0211536545934159,0.0057522047157961,0.012975941371285,0.0102475727829067,0.0003566567905048,0.0023133211622156,4.8698493087522026e-05,0.0010470249770226,0.0005347080941153,0.0010981600024153,0.0001905937385458,0.0,5.601949925406804e-05,0.0003100448832589,5.272159564230158e-05,0.0001722662049699,0.0,0.0007225627325188,0.0028590724247804,0.0015024304331424,0.0010922517356401,0.001060056135976,0.0002080171532369,0.0003967191285905,0.000209076899232,0.0014178943343433,0.0005487447209364,0.0002702653070429,0.0,0.0,0.0,0.0004444317588215,0.0001762635670084,0.0002738542244073,0.0001305574188857,0.0072855688115589,0.00012769155693,0.0001671507870089,0.0003819391877888,0.0046449106609754,0.0014350320144591,0.0008254137318006,0.0,3.091738334603168e-05,0.0,0.0005982827842828,8.541358644251203e-05,0.0191393966641876,0.0191393966641876,0.0,0.0,0.09358665732851323,0.0
L.ICG,0.0017731371616146,0.0050138288806511,7.375239757719847e-05,0.0160017166296589,0.0002528736724209,0.0074746721275084,0.0091331543911947,0.0066759115252655,0.0,0.0294747369798355,0.00021765471534,0.0393718958023584,0.0042804108593809,0.0035412676534273,0.0517557980052029,0.0007834137328179,0.0011326210970004,0.0,9.162181948495236e-05,0.014221150921267,0.0018499366240259,0.0761686762853873,0.0024244889552292,0.2683291713647434,0.0050295193673199,0.0008604564230117,0.0079928971848596,0.0292596603605876,0.0099176413648599,0.0097190805056727,0.0,7.866842339502649e-05,0.0032131795083502,0.0076661029270745,0.0003754629332961,0.0355690945000345,0.0013646669587396,0.006398131709201,0.0029698707351151,0.0899865233107663,0.0002887641205989,0.0002020107962304,0.0077356161198001,0.0012436525619545,0.002130113840221,0.0012264971795762,0.0033480618481152,0.0011240424408587,0.0001621853404138,0.0008515130256746,0.0002371882078503,3.856846483347091e-05,0.0015389853226517,0.0,0.0011134804325028,0.0038455243313693,0.0033266345792283,0.0502584005906788,0.0066530799263766,0.0,0.0041656894557653,0.0007309516424219,0.0019943790110577,0.0008773284424617,0.0003756526107389,0.0,0.0,3.302558557274801e-05,0.003266734232786,0.0007084511218253,0.0029841231057703,0.0007772567780411,0.033201746543396,0.0001015680143239,0.0,0.0006701830885363,0.0096777173807938,0.0036284676621087,0.0030119818683872,0.0,3.431334641194944e-05,0.0006831435452545,0.0022219819597669,0.000141739509723,0.0278671847798309,0.0278671847798309,0.0,0.0,0.05735764163043803,0.0
L.LOG,0.0025988944219486,7.182250699213098e-05,3.963850124177469e-05,0.0799592315977808,0.0002127121343181,0.3201478904631827,0.2736858715194183,0.1284105552220684,0.0294747369798355,0.0,0.0002053960307621,0.163040331678802,0.0008841214838107,0.0263648668304624,0.0009367671686467,0.0002499825442784,0.0002786846210976,0.0001364200830542,0.0006439228014746,0.1280218102946622,0.0012291840636566,0.0001985419457554,0.0019664406769703,0.0292739475365195,0.0003662653171319,0.0009636432800878,0.0010872719867466,0.0974022778624957,0.012063157777432,0.0033894150428539,0.0,0.0006218482648771,0.001483104153779,0.006913759061828,0.0001172993983243,0.0203917605603508,0.0002505645500586,0.011904121345079,0.003550673786239,0.0085150434255013,0.0013060167526606,0.0001848204329649,0.002781337713355,0.0001870053099941,0.0014352694869242,0.001038405387341,0.0016761031297529,0.0004370456717662,0.0001091633820228,0.0001090053506781,0.0,0.0001011378663646,0.0015520964785237,0.0,0.0017677239317832,0.0048354001067996,0.0032896709408947,0.0066268954378754,0.0049305333505378,0.0,0.0032739673576656,0.0003729468041746,0.002388495707924,0.0005647425368405,0.0001939198303583,0.0,0.0,0.0,0.0024000776294689,0.0001768706000004,0.0001336346796736,0.0002089354223451,0.0179316614186267,0.0,0.0,9.152216686339006e-05,0.0105657790916769,0.0015072293611556,0.0004927331549318,0.0,9.014157143497856e-05,0.0001212647177834,0.0005908885286237,2.8696319691581324e-05,0.0091773135736132,0.0091773135736132,0.0,0.0,0.08362352062201552,0.0
